12.03.2018  10:39:15	SNEM	10:55:54	00:16:39	999	06:46:10	24370
12.03.2018  10:55:54	SNEM	11:01:10	00:05:16	316	06:51:26	24686
12.03.2018  11:01:11	SNEM	11:05:49	00:04:38	278	06:56:04	24964
12.03.2018  11:05:49	SNEM	11:19:42	00:13:53	833	07:09:57	25797
12.03.2018  11:22:04	SNEM	11:22:04	00:00:00	0	07:09:57	25797
12.03.2018  11:23:52	SNEM	11:28:53	00:05:01	301	07:14:58	26098
12.03.2018  11:34:50	SNEM	11:34:52	00:00:02	2	07:15:00	26100
12.03.2018  16:01:29	SNEM	16:02:24	00:00:55	55	07:15:55	26155
12.03.2018  16:02:25	SNEM	16:06:54	00:04:29	269	07:20:24	26424
12.03.2018  16:06:55	SNEM	16:09:50	00:02:55	175	07:23:19	26599
12.03.2018  16:09:51	SNEM	16:13:05	00:03:14	194	07:26:33	26793
12.03.2018  16:31:47	SNEM	16:37:32	00:05:45	345	07:32:18	27138
12.03.2018  16:37:33	SNEM	16:45:10	00:07:37	457	07:39:55	27595
12.03.2018  16:45:11	SNEM	16:52:38	00:07:27	447	07:47:22	28042
12.03.2018  16:52:38	SNEM	16:55:27	00:02:49	169	07:50:11	28211
12.03.2018  16:57:18	SNEM	16:58:36	00:01:18	78	07:51:29	28289
12.03.2018  16:58:36	SNEM	16:59:27	00:00:51	51	07:52:20	28340
12.03.2018  16:59:28	SNEM	17:02:22	00:02:54	174	07:55:14	28514
12.03.2018  17:06:44	SNEM	17:06:46	00:00:02	2	07:55:16	28516
12.03.2018  17:09:13	SNEM	17:09:14	00:00:01	1	07:55:17	28517
13.03.2018  08:34:32	SNEM	08:38:54	00:04:22	262	07:59:39	28779
13.03.2018  08:38:55	SNEM	09:07:59	00:29:04	1744	08:28:43	30523
13.03.2018  09:19:30	SNEM	09:19:30	00:00:00	0	08:28:43	30523
13.03.2018  09:19:31	SNEM	09:20:18	00:00:47	47	08:29:30	30570
13.03.2018  09:20:18	SNEM	09:20:55	00:00:37	37	08:30:07	30607
13.03.2018  09:20:56	SNEM	09:21:39	00:00:43	43	08:30:50	30650
13.03.2018  09:23:42	SNEM	09:23:42	00:00:00	0	08:30:50	30650
13.03.2018  09:28:22	SNEM	09:28:23	00:00:01	1	08:30:51	30651
13.03.2018  09:39:46	SNEM	09:39:49	00:00:03	3	08:30:54	30654
13.03.2018  09:40:05	SNEM	09:40:40	00:00:35	35	08:31:2	30689
13.03.2018  09:40:41	SNEM	10:11:35	00:30:54	1854	09:02:23	32543
13.03.2018  10:15:00	SNEM	10:20:13	00:05:13	313	09:07:36	32856
13.03.2018  10:20:13	SNEM	10:38:01	00:17:48	1068	09:25:24	33924
13.03.2018  10:40:35	SNEM	10:43:00	00:02:25	145	09:27:49	34069
13.03.2018  10:43:01	SNEM	10:45:10	00:02:09	129	09:29:58	34198
13.03.2018  10:45:11	SNEM	10:48:32	00:03:21	201	09:33:19	34399
13.03.2018  10:48:33	SNEM	10:55:46	00:07:13	433	09:40:32	34832
13.03.2018  13:53:55	SNEM	13:57:26	00:03:31	211	09:44:03	35043
13.03.2018  13:57:26	SNEM	13:59:15	00:01:49	109	09:45:52	35152
13.03.2018  13:59:15	SNEM	14:03:48	00:04:33	273	09:50:25	35425
13.03.2018  14:03:48	SNEM	14:11:20	00:07:32	452	09:57:57	35877
13.03.2018  14:11:20	SNEM	14:14:45	00:03:25	205	10:01:22	36082
13.03.2018  14:14:46	SNEM	14:24:32	00:09:46	586	10:11:08	36668
13.03.2018  14:24:32	SNEM	14:26:38	00:02:06	126	10:13:14	36794
13.03.2018  14:26:39	SNEM	14:27:54	00:01:15	75	10:14:29	36869
13.03.2018  14:27:55	SNEM	14:29:24	00:01:29	89	10:15:58	36958
13.03.2018  14:29:24	SNEM	14:40:06	00:10:42	642	10:26:40	37600
13.03.2018  14:40:06	SNEM	14:46:37	00:06:31	391	10:33:11	37991
13.03.2018  14:49:56	SNEM	14:55:08	00:05:12	312	10:38:23	38303
13.03.2018  14:55:08	SNEM	15:04:07	00:08:59	539	10:47:22	38842
14.03.2018  09:18:39	SNEM	09:22:43	00:04:04	244	10:51:26	39086
14.03.2018  09:22:43	SNEM	09:33:09	00:10:26	626	11:01:52	39712
14.03.2018  09:33:09	SNEM	09:41:47	00:08:38	518	11:10:30	40230
14.03.2018  09:41:48	SNEM	09:47:45	00:05:57	357	11:16:27	40587
14.03.2018  09:47:45	SNEM	09:52:36	00:04:51	291	11:21:18	40878
14.03.2018  09:52:36	SNEM	10:15:27	00:22:51	1371	11:44:09	42249
14.03.2018  10:15:27	SNEM	10:25:26	00:09:59	599	11:54:08	42848
14.03.2018  10:25:27	SNEM	10:27:00	00:01:33	93	11:55:41	42941
14.03.2018  10:27:00	SNEM	10:29:18	00:02:18	138	11:57:59	43079
14.03.2018  10:29:20	SNEM	10:30:37	00:01:17	77	11:59:16	43156
14.03.2018  10:30:37	SNEM	10:32:29	00:01:52	112	12:01:08	43268
14.03.2018  10:32:29	SNEM	10:44:27	00:11:58	718	12:13:06	43986
14.03.2018  10:44:28	SNEM	10:46:13	00:01:45	105	12:14:51	44091
14.03.2018  10:32:29	SNEM	10:44:27	00:11:58	718	12:13:06	43986
14.03.2018  11:21:47	SNEM	11:23:11	00:01:24	84	12:45:48	45948
14.03.2018  11:23:12	SNEM	11:24:23	00:01:11	71	12:46:59	46019
14.03.2018  14:06:58	SNEM	14:10:44	00:03:46	226	12:50:45	46245
14.03.2018  16:33:12	SNEM	16:47:24	00:14:12	852	00:14:12	852
14.03.2018  16:48:03	SNEM	16:48:05	00:00:02	2	00:14:14	854
14.03.2018  16:48:06	SNEM	16:49:38	00:01:32	92	00:15:46	946
14.03.2018  16:49:38	SNEM	16:56:06	00:06:28	388	00:22:14	1334
14.03.2018  16:56:07	SNEM	16:56:46	00:00:39	39	00:22:53	1373
